,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,0.07,10.44,77.41,73.59,63.13,43.22,46.57,23.81,40.04,7.88,79.33,23.45,80.39,61.09,0.0,84.67,78.19,84.49,48.34,10.13,51.83,14.26,6.23,14.81,62.33,77.58,58.4,95.48,36.73,60.29,32.21,38.8,96.64,50.74,99.22,89.95,98.38,78.93,99.81,92.19,38.79,31.85,8.95,83.22,50.7,84.48,87.59,81.63,92.03,98.49,90.39,87.0,100.0,32.43,74.3,89.76,91.11,91.06,100.0,52.08,27.79,79.1,83.25,91.39,19.13,15.64,11.83,83.85,1.79,9.39,89.17,88.41,67.21,19.99,5.65,62.07,0.89,46.42,0.0,84.03,87.83,0.6,4.3,31.66,25.64,5.29,89.71,44.25,83.62,10.49,84.81,52.77,91.27,0.0,0.0,36.65,32.5,72.24,65.32,16.77
21,0.0,0.0,0.0,0.0,4.86,4.3,1.27,51.83,4.33,11.83,19.55,45.85,79.1,78.19,7.5,87.32,91.27,58.4,78.93,99.22,38.8,89.95,95.48,98.38,92.19,81.63,96.64,82.13,78.6,99.98,50.74,75.46,80.86,80.65,27.41,62.07,83.22,7.12,31.53,99.81,87.59,83.85,98.49,52.56,44.47,36.29,2.15,87.0,100.0,69.2,89.76,91.11,8.9,100.0,71.81,84.48,83.25,89.14,50.69,52.08,40.06,84.62,84.49,81.48,85.21,88.41,84.67,32.21,77.01,22.07,55.4,75.39,50.7,84.03,53.52,73.33,76.63,18.61,91.06,26.69,0.0,81.66,78.44,61.67,39.57,71.11,44.48,78.6,71.43,6.23,53.46,39.32,15.64,90.39,13.02,72.89,48.34,80.38,87.62,96.38
22,0.0,21.54,29.17,0.07,49.22,17.9,0.0,5.98,36.23,3.04,66.9,42.48,18.26,28.4,14.81,50.55,21.74,3.51,75.46,0.0,43.22,92.03,76.66,77.52,71.81,96.64,89.95,95.48,12.23,92.19,6.2,72.21,67.21,98.38,99.22,0.0,84.67,78.19,25.45,23.23,91.27,48.86,80.39,84.49,12.34,84.64,38.48,71.11,28.06,78.93,45.85,50.7,50.74,37.37,52.08,24.11,79.1,78.6,71.43,100.0,91.11,91.06,84.03,98.49,100.0,83.25,81.63,61.09,43.84,99.81,59.68,9.46,89.76,83.22,87.59,33.95,83.85,90.39,69.2,43.12,58.4,36.97,50.75,2.78,40.26,36.96,77.58,88.41,16.91,45.37,28.36,5.26,0.0,74.3,80.65,61.0,32.21,78.44,10.66,52.47
23,24.11,79.1,80.39,0.0,2.64,18.72,2.04,0.85,59.05,6.87,52.77,84.67,58.4,48.34,99.81,62.75,98.38,99.22,92.19,45.73,5.95,76.59,96.64,95.48,52.08,51.83,0.0,89.95,100.0,14.06,12.44,45.01,43.84,87.0,2.78,48.86,71.11,91.39,98.49,100.0,61.67,89.76,91.11,64.46,31.43,71.43,7.54,81.63,31.66,99.98,96.38,80.86,80.65,71.81,91.19,83.22,50.74,69.2,80.69,60.29,62.07,83.25,87.59,67.21,92.03,91.27,77.01,83.85,91.06,50.69,86.46,63.61,88.89,89.71,83.62,45.85,66.84,84.64,64.12,78.6,68.71,54.52,89.14,50.7,25.45,20.5,87.62,82.13,81.48,85.21,75.12,7.12,9.52,63.88,5.65,77.58,84.49,6.23,50.75,19.28
24,16.44,16.44,0.0,6.39,0.0,6.26,38.68,41.03,0.0,18.26,25.62,17.16,43.9,1.65,6.77,38.45,49.57,26.29,23.8,44.47,7.54,62.15,33.69,80.65,91.19,50.74,63.2,80.86,99.98,71.81,27.8,77.01,99.22,0.0,62.33,84.49,6.23,70.8,81.63,98.38,86.14,84.67,48.34,87.0,99.81,38.79,60.68,87.59,2.33,92.19,0.0,83.22,84.03,98.49,100.0,89.17,24.55,43.84,100.0,80.69,84.48,91.11,69.2,96.38,43.12,79.33,23.71,77.58,89.76,18.93,88.41,80.39,32.21,61.33,27.41,31.85,0.0,24.11,53.52,36.46,62.07,8.5,2.72,16.77,76.34,78.6,30.03,50.75,39.2,60.29,61.67,83.25,54.83,26.48,6.87,87.83,7.54,11.07,0.0,26.69
25,89.76,76.68,36.23,32.37,50.54,38.79,0.0,83.62,36.29,95.48,96.64,92.03,25.45,50.74,43.84,62.07,30.41,62.75,89.95,78.93,55.96,64.12,28.06,98.38,99.22,84.64,24.11,0.0,62.04,100.0,91.27,2.35,51.83,6.1,91.06,2.15,50.7,16.07,36.73,92.19,27.8,10.05,100.0,85.21,80.65,83.25,81.48,63.88,87.0,5.65,84.67,83.22,81.63,99.81,71.81,48.86,76.59,84.49,87.59,98.49,4.3,79.1,32.21,91.11,6.48,57.27,59.68,89.71,48.34,83.85,53.46,90.39,89.14,20.95,74.3,0.0,88.41,3.06,52.2,50.75,5.29,24.55,84.03,10.04,23.8,3.14,77.58,78.19,40.47,0.0,0.15,0.0,20.5,0.0,8.39,23.71,29.57,58.4,34.47,26.69
26,27.48,29.17,65.69,41.35,8.11,50.74,12.23,84.03,52.23,49.48,28.53,27.79,65.32,28.9,92.19,7.54,99.81,5.65,0.0,26.69,87.59,98.49,78.93,99.22,13.12,0.89,24.11,26.56,100.0,74.3,81.63,5.4,43.84,52.08,23.8,91.11,50.7,100.0,98.38,80.65,78.19,89.76,18.93,87.0,80.86,84.64,79.1,84.49,12.34,96.38,84.67,80.39,58.4,48.34,50.75,77.58,91.27,48.86,77.01,99.98,63.61,62.07,89.71,6.23,83.22,45.85,3.07,78.6,83.25,71.81,12.19,25.45,0.0,52.56,69.2,2.13,43.22,84.62,71.43,36.73,0.0,75.39,73.33,92.03,68.17,6.38,66.27,82.33,83.85,57.68,72.89,82.28,79.76,91.06,24.05,30.21,36.65,84.48,37.3,55.96
27,18.55,7.03,9.72,67.04,0.0,59.92,77.58,26.97,32.5,70.8,43.2,88.41,38.48,7.02,84.67,0.0,32.21,84.49,18.93,99.22,91.39,95.48,98.38,92.19,91.19,87.0,99.81,99.98,60.29,19.13,78.19,89.95,50.74,96.38,80.86,79.1,81.63,61.09,2.33,40.26,45.85,58.4,83.22,100.0,80.65,19.64,92.03,43.84,84.03,44.22,91.11,90.39,91.06,98.49,100.0,38.79,0.0,77.01,87.59,69.2,84.48,2.81,89.76,83.25,55.96,82.28,83.85,50.75,53.52,74.3,84.81,40.06,80.39,78.6,62.33,78.6,78.44,73.59,60.48,50.7,89.17,62.07,79.76,18.38,67.21,73.93,71.43,65.32,83.62,78.93,40.02,35.61,48.86,51.83,81.48,54.07,89.14,22.07,22.3,43.12
28,5.22,14.29,4.85,38.03,45.87,62.15,7.12,21.88,3.38,13.34,23.45,71.43,48.91,68.31,0.0,33.95,48.34,78.6,77.01,78.44,43.22,31.51,7.65,61.67,80.86,67.57,50.75,80.65,99.98,60.29,88.82,99.22,30.17,71.81,62.33,1.89,81.63,100.0,98.38,99.81,87.59,43.84,87.0,98.49,92.19,84.62,89.76,83.25,100.0,80.69,75.39,79.76,76.63,91.11,91.19,84.48,81.66,31.66,96.38,32.43,82.21,48.86,5.53,82.33,0.0,61.71,86.14,6.23,39.57,31.43,79.33,0.0,66.03,84.03,50.69,89.17,65.32,61.09,13.02,32.74,72.89,78.19,83.22,44.25,57.68,66.27,79.1,12.34,19.64,11.83,84.64,0.0,51.83,2.64,40.26,59.68,89.71,3.07,58.4,78.93
29,44.74,11.69,37.36,28.93,67.17,72.21,7.02,86.14,11.83,0.0,79.33,88.41,38.79,12.44,27.79,84.81,18.61,84.49,40.26,99.22,38.8,95.48,98.38,99.98,91.19,50.74,99.81,80.86,71.81,60.29,87.59,81.63,92.19,80.65,62.33,0.51,83.22,98.49,74.3,45.73,62.04,40.04,100.0,53.11,53.61,61.09,87.0,96.38,68.17,44.47,87.83,84.62,25.45,100.0,80.69,66.03,84.48,77.01,83.85,11.77,86.37,77.58,10.13,63.2,5.65,38.48,0.0,91.11,69.2,2.64,89.17,54.41,84.67,89.76,83.25,78.6,80.38,89.95,53.52,11.99,5.95,96.64,83.62,92.03,31.58,91.27,90.39,91.06,14.81,78.93,63.61,45.85,84.64,66.27,79.1,12.19,45.28,80.39,58.4,50.75
30,25.5,38.03,26.5,28.11,43.76,83.62,0.0,40.26,5.65,44.47,15.73,62.04,31.53,37.37,23.8,55.96,91.27,96.64,50.7,78.93,45.85,67.21,89.95,95.48,98.38,29.51,62.07,99.22,92.19,52.47,0.0,3.07,71.11,0.0,28.06,31.18,8.52,84.49,81.63,98.49,89.76,83.22,87.59,100.0,99.81,58.4,91.11,83.85,84.03,100.0,48.34,83.25,61.09,43.84,63.2,84.67,79.1,91.06,18.93,53.52,77.01,90.39,1.65,74.3,99.98,88.82,50.74,96.38,80.86,91.19,88.41,6.23,87.0,50.75,80.69,44.96,77.58,84.48,19.64,60.29,89.17,78.6,44.25,92.03,3.38,84.81,23.71,72.21,2.53,71.43,84.62,32.21,14.01,70.8,62.33,63.61,8.5,0.0,80.65,53.61
31,78.95,41.9,7.26,28.15,0.0,31.18,55.96,8.52,3.68,25.67,5.95,76.59,70.26,99.81,23.8,62.75,89.95,98.38,92.19,44.47,80.39,96.64,36.97,99.22,13.34,84.67,48.34,95.48,87.0,61.33,43.2,22.07,9.14,100.0,8.39,0.0,61.67,83.25,2.64,62.33,48.91,83.22,81.63,100.0,80.86,87.59,83.85,84.03,63.2,71.81,78.6,43.84,98.49,80.65,52.47,89.76,91.11,91.06,69.2,53.52,27.8,84.62,84.49,9.96,99.98,81.66,77.01,88.82,50.74,96.38,77.58,84.48,82.33,67.21,13.87,75.4,66.03,82.28,75.39,20.51,27.79,0.0,46.57,48.86,78.44,88.41,79.76,76.63,73.93,80.69,36.65,24.8,65.32,13.02,50.75,84.81,88.89,62.07,6.23,92.03
32,50.54,38.15,73.59,0.07,89.76,2.81,65.32,12.61,52.23,91.19,70.8,28.4,99.22,44.47,53.02,95.48,98.38,2.79,92.19,99.98,84.67,8.82,50.74,99.81,80.86,88.41,80.39,83.22,81.63,52.08,43.2,38.48,86.14,98.49,100.0,84.81,84.49,78.6,43.84,62.33,84.62,18.61,87.59,18.38,100.0,82.28,84.48,81.66,31.53,87.0,33.95,66.03,78.6,91.11,53.52,0.0,77.01,76.24,68.17,27.41,7.02,48.86,83.85,61.09,96.38,77.58,27.79,91.39,83.62,80.69,89.17,83.25,50.7,78.93,39.57,62.07,89.71,39.32,90.39,50.75,53.46,45.85,91.27,71.11,78.19,86.46,84.64,79.1,89.95,74.3,79.33,58.4,72.24,0.99,67.21,19.64,3.06,40.47,89.14,36.97
